Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
310,CS5433,Các hệ cơ sở dữ liệu phân tán,Distributed Database Systems,Đang mở,HTTT,CSN,,,,CS5423CS4283MSIS4013,3,0
311,CS551,Thực tập,Internship,Đang mở,KHMT,TTTN,,,,,2,0
312,CS553,Đồ án tốt nghiệp,Capstone Project,Đang mở,KHMT,TN,,,,,6,0
313,CS554,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,KHMT,TN,,,,,10,0
314,CSBU001,Lập trình,Programming,Đang mở,KHMT,CN,,CSBU101,,,3,1
315,CSBU002,Mạng máy tính,Networking,Đang mở,KHMT,CN,,,,,3,1
316,CSBU003,Thực hành nghề nghiệp,Professional Practice,Đang mở,KHMT,CN,,,,,4,0
317,CSBU004,Toán cho tin học,Maths for Computing,Đang mở,KHMT,CN,,,,,3,1
318,CSBU005,Bảo mật,Security,Đang mở,KHMT,CN,,,,,3,1
319,CSBU006,Quản lý dự án máy tính thành công,Managing a Successful Computing Project,Đang mở,KHMT,CN,,,,,4,0
320,CSBU007,Thiết kế và phát triển cơ sở dữ liệu,Database Design and Development,Đang mở,KHMT,CN,,,,,3,1
321,CSBU008,Kiến trúc máy tính,Computer Systems Architecture,Đang mở,KHMT,CN,,CSBU102,,,3,1
322,CSBU009,Dự án nghiên cứu,Computing Research Project,Đang mở,KHMT,CN,,,,,4,4
323,CSBU010,Công nghệ kinh doanh thông minh,Business Intelligence,Đang mở,KHMT,CN,,,,,3,1
324,CSBU011,Toán rời rạc,Discrete Maths,Đang mở,KHMT,CN,,CSBU110,,,4,0
325,CSBU012,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,Đang mở,KHMT,CN,,CSBU104,,,3,1
326,CSBU013,Lập trình nâng cao,Advanced Programming,Đang mở,KHMT,CN,,CSBU107,,,3,1
327,CSBU014,Máy học,Machine Learning,Đang mở,KHMT,CN,,,,,3,1
328,CSBU015,Điện toán đám mây,Cloud Computing,Đang mở,KHMT,CN,,,,,3,1
329,CSBU016,Thực tập,Internship,Đang mở,KHMT,TTTN,,,,,0,0
330,CSBU101,Lập trình máy tính,Computer Programming,Đang mở,KHMT,CN,,,,,40,25
331,CSBU102,Hệ thống máy tính,Computer Systems,Đang mở,KHMT,CN,,,,,40,25
332,CSBU103,Phát triển và thiết kế web,Website Design and Development,Đang mở,KHMT,CN,,,,,40,25
333,CSBU104,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,Đang mở,KHMT,CN,,,,,40,25
334,CSBU105,Mạng máy tính căn bản,Network Fundamentals,Đang mở,KHMT,CN,,,,,40,25
335,CSBU106,Đồ án đổi mới sáng tạo,Innovation Project,Đang mở,KHMT,CN,,,,,48,32
336,CSBU107,Lập trình hướng đối tượng,Object-Oriented Programming,Đang mở,KHMT,CN,,,,,40,25
337,CSBU108,Hệ điều hành,Operating Systems,Đang mở,KHMT,CN,,,,,40,25
338,CSBU109,Phát triển ứng dụng web và cơ sở dữ liệu,Database and Web Application Development,Đang mở,KHMT,CN,,,,,40,25
339,CSBU110,Toán rời rạc và lập trình khai báo,Discrete Mathematics and Declarative Programming,Đang mở,KHMT,CN,,,,,40,25
340,CSBU111,An ninh mạng,Cyber Security,Đang mở,KHMT,CN,,,,,40,25
341,CSBU112,Thiết kế phần mềm,Software Design,Đang mở,KHMT,CN,,,,,40,25
342,CSBU201,Thiết kế trải nghiệm người dùng,User Experience Design,Đang mở,KHMT,CN,,,,,40,25
343,CSBU202,Phát triển ứng dụng cho thiết bị di động và thiết bị đeo,Mobile and Wearable Application Development,Đang mở,KHMT,CN,,,,,48,32
344,CSBU203,Điện toán đám mây,Cloud Computing,Đang mở,KHMT,CN,,,,,40,25
345,CSBU204,Trí tuệ nhân tạo và máy học,Artificial Intelligence and Machine Learning,Đang mở,KHMT,CN,,,,,40,25
346,CSBU205,Dự án cá nhân,Individual Honours Project,Đang mở,KHMT,CN,,,,,48,32
347,CSC01,Tin học đại cương,Introduction to informatics,Đang mở,KHMT,CN,,IT001,,,3,1
348,CSC11,Khoa học máy tính I,Computer science I,Đang mở,KHMT,CN,,,,,4,0
349,CSC12,Khoa học máy tính II,Computer science II,Đang mở,KHMT,CN,,,,,4,0
350,CSC21,Tin học đại cương (TE),Introduction to informatics,Đang mở,KHMT,CN,,IT001CSC01,,,5,0
351,CSKI1,Kỹ năng truyền thông làm việc nhóm,Teamwork and communication skills,Đang mở,KHMT,CN,,,,,4,0
352,CU001,Văn hóa doanh nghiệp Nhật,Japanese Corporate Culture,Đang mở,KTTT,CN,,,,,2,0
353,DAI015,Thực hành văn bản Tiếng Việt,Vietnamese Language Practice,Đang mở,PĐTĐH,CN,,,,,2,0
354,DBSS1,Cơ sở dữ liệu,Database,Đang mở,TTNN,ĐC,,IT004,,,3,1
355,DS005,Giới thiệu ngành Khoa học Dữ liệu,Introduction to Data Science,Đang mở,KTTT,ĐC,,CS005IE005IS005SE005CE005NT005NT015EC005AI001,,,1,0
356,DS101,Thống kê và xác suất chuyên sâu,Advanced Statistics and Probability,Đang mở,KTTT,CN,,,MA005,MA006MA003,2,1
357,DS102,Học máy thống kê,Statistical Machine Learning,Đang mở,KTTT,CN,,,,,3,1
358,DS103,Thu thập và tiền xử lý dữ liệu,Getting and Cleaning Data,Đang mở,KTTT,CN,,DS108,,,3,1
359,DS104,Tính toán song song và phân tán,Parallel and Distributed Computing,Đang mở,KTTT,CN,,,,IT004,3,1
360,DS105,Phân tích và trực quan dữ liệu,Data Analytics and Visulization,Đang mở,KTTT,CN,,DS111,,MA005IT001DS103,3,1
361,DS106,Tối ưu hóa và ứng dụng,Optimization and Applications,Đang mở,KTTT,CN,,,,MA003,2,1
362,DS107,Tư duy tính toán cho khoa học dữ liệu,Computational Thinking for Data Science,Đang mở,KTTT,CN,,,,IT002,3,1
363,DS108,Tiền xử lý và xây dựng bộ dữ liệu,Preprocessing and Constructing Datasets,Đang mở,KTTT,CN,,,,IT001IT004,3,1
364,DS111,Phân tích dữ liệu,Data Analysis,Đang mở,KTTT,CSN,,,,IT001MA005,3,1
365,DS200,Phân tích dữ liệu lớn,Big Data Analysis,Đang mở,KTTT,CN,,,,,3,1
366,DS201,Deep Learning trong khoa học dữ liệu,Deep Learning for Data Science,Đang mở,KTTT,CN,,,,DS102,3,1
367,DS202,Đồ án khoa học dữ liệu và ứng dụng 1,Data Science Project and Application 1,Đang mở,KTTT,CN,,,,,0,2
368,DS203,Đồ án khoa học dữ liệu và ứng dụng 2,Data Science Project and Application 2,Đang mở,KTTT,CN,,,,DS202,0,2
369,DS204,Đồ án khoa học dữ liệu và ứng dụng,Data Science Project and Application,Đang mở,KTTT,ĐA,,,,,0,2
370,DS207,Đồ án,Project,Đang mở,KTTT,CN,,,,,0,2
371,DS300,Hệ khuyến nghị,Recommender Systems,Đang mở,KTTT,CN,,,,,3,1
372,DS301,Các giải thuật khai phá dữ liệu lớn,Mining of Massive Datasets,Đang mở,KTTT,CN,,,,IT007,3,1
373,DS302,Phân tích thống kê đa biến,Multivariate Statistical Analysis,Đang mở,KTTT,CN,,,MA005,,2,1
374,DS303,Thống kê Bayes,Bayesian Statistics,Đang mở,KTTT,CN,,,MA005,,2,1
375,DS304,Thiết kế và phân tích thực nghiệm,Design and Analysis of Experiments,Đang mở,KTTT,CN,,,,MA005,3,0
376,DS305,Phân tích dữ liệu chuỗi thời gian và ứng dụng,Applied Time Series Analysis,Đang mở,KTTT,CN,,,MA005,,2,1
377,DS306,Phân tích dữ liệu lớn trong tài chính,Big Data Analytics in Finance,Đang mở,KTTT,CN,,,DS200,,3,0
378,DS307,Phân tích dữ liệu truyền thông xã hội,Social Media Data Analytics,Đang mở,KTTT,CN,,,,IT004,3,0
379,DS308,Mô hình đồ thị xác suất,Probabilistic Graphical Models,Đang mở,KTTT,CN,,,,,3,1
380,DS309,Thực tập doanh nghiệp,Internship,Đang mở,KTTT,TTTN,,,,,2,0
381,DS310,Xử lý ngôn ngữ tự nhiên cho khoa học dữ liệu,Natural Language Processing for Data Science,Đang mở,KTTT,CN,,,,DS102,3,1
382,DS311,Kỹ năng nghiên cứu và viết bài báo khoa học,Scientific Research and Writing Skills,Đang mở,KTTT,CN,,,,,3,0
383,DS312,Xử lý ảnh y khoa,Medical Image Processing,Đang mở,KTTT,CN,,,,,3,0
384,DS313,Xử lý thông tin giọng nói,Speech Information Processing,Đang mở,KTTT,CN,,,,DS102,3,1
385,DS314,Rút trích và truy vấn thông tin,Information Extraction and Retrieval,Đang mở,KTTT,CN,,,,,3,1
386,DS315,Phân tích kho dữ liệu,Data Warehouse Analysis,Đang mở,KTTT,CN,,,,IT004,3,1
387,DS316,Xây dựng ứng dụng thông minh,Intelligent Applications,Đang mở,KTTT,CN,,,,,3,1
388,DS317,Khai phá dữ liệu trong doanh nghiệp,Data Mining for Enterprise,Đang mở,KTTT,CN,,,,IT002IT003,3,1
389,DS318,Đạo đức trong trí tuệ nhân tạo và khoa học dữ liệu,Ethics in Artificial Intelligence and Data Science,Đang mở,KTTT,CN,,,,,3,0
390,DS319,Mô hình ngôn ngữ lớn,Large Language Models,Đang mở,KTTT,CN,,,,IT003IT002DS102,3,1
391,DS320,Học đa thể thức,Multimodal Learning,Đang mở,KTTT,CN,,,,IT002IT003DS102,3,1
392,DS321,Khoa học dữ liệu cho an toàn thông tin,Data Science for Cybersecurity,Đang mở,KTTT,CN,,,,,3,1
393,DS322,Thiết kế hệ thống học máy,Machine Learning Systems Design,Đang mở,KTTT,CN,,,,,3,1
394,DS323,Viết báo cáo kỹ thuật và thuyết trình,Technical Report Writing and Presentation,Đang mở,KTTT,CN,,,,,3,0
395,DS324,Khai thác dữ liệu ảnh số,Digital Image Data Mining,Đang mở,KTTT,CN,,,,MA003IT003,3,1
396,DS325,Thiết kế ứng dụng với dữ liệu chuyên sâu,Designing Data-Intensive Applications,Đang mở,KTTT,CN,,,DS108,,3,1
397,DS326,Khai phá dữ liệu đa phương tiện và ứng dụng,Multimedia Mining and Applications,Đang mở,KTTT,CN,,,,IT003DS102,3,1
398,DS327,Các mô hình nền tảng,Foundation Models,Đang mở,KTTT,CN,,,,IT003IT002DS102,3,1
399,DS400,Chuyên đề tốt nghiệp khoa học dữ liệu,Data Science Graduate Seminars,Đang mở,KTTT,TN,,,,,4,0
400,DS501,Đồ án tốt nghiệp,Capstone Project,Đang mở,KTTT,ĐC,,,,DS400,6,0
401,DS502,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,KTTT,TN,,,,,10,0
402,DS505,Khóa luận tốt nghiệp,Thesis,Đang mở,KTTT,KLTN,,,,DS207,10,0
403,DSAL1,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,Đang mở,TTNN,ĐC,,IT003,,,3,1
404,DSAL2,Cấu trúc dữ liệu & giải thuật nâng cao,Advanced data structures and algorithms,Đang mở,KHMT,ĐC,,CS523,,,3,1
405,DTH039,Đô thị học đại cương,Introduction to Urban Studies,Đang mở,PĐTĐH,CN,,,,,3,0
406,EC001,Kinh tế học đại cương,Principles of Economics,Đang mở,HTTT,CSN,,,,,4,0
407,EC002,Quản trị doanh nghiệp,Business Management,Đang mở,HTTT,CNTC,,,,,3,0
408,EC003,Tiếp thị căn bản,Basic Marketing,Đang mở,HTTT,CN,,EC101,,,3,0
409,EC005,Giới thiệu ngành Thương mại Điện tử,Introduction to E-Commerce,Đang mở,HTTT,ĐC,,CS005IE005IS005SE005CE005NT005NT015DS005AI001,,,1,0
410,EC101,Marketing căn bản,Basic Marketing,Đang mở,HTTT,CN,,,,,3,0
411,EC201,Phân tích thiết kế quy trình nghiệp vụ doanh nghiệp,Business Process Analysis and Design,Đang mở,HTTT,CSN,,,,,3,1
412,EC202,Nhập môn quản trị chuỗi cung ứng,Supply Chain Management,Đang mở,HTTT,CNTC,,EC214,,,3,1
413,EC203,Quản trị quan hệ khách hàng và nhà cung cấp,Customer Relationship Management and Supplier Relationship Management,Đang mở,HTTT,CN,,EC213,,,3,1
414,EC204,Marketing điện tử,E-Marketing,Đang mở,HTTT,CN,,,,,2,1
415,EC208,Quản trị dự án thương mại điện tử,E-Commerce Project Management,Đang mở,HTTT,CN,,,,,3,0
416,EC212,Thực tập doanh nghiệp,Industry Internship Program,Đang mở,HTTT,TTTN,,EC222,,,3,0
417,EC213,Quản trị quan hệ khách hàng và nhà cung cấp,Customer and Supplier Relationship Management,Đang mở,HTTT,CN,,,,,2,1
418,EC214,Nhập môn quản trị chuỗi cung ứng,Introduction to Supply Chain Management,Đang mở,HTTT,CNTC,,,,,3,0
419,EC219,Pháp luật trong thương mại điện tử,Law in E-Commerce,Đang mở,HTTT,CN,,EC229,,,3,0
420,EC222,Thực tập doanh nghiệp,Internship,Đang mở,HTTT,TTTN,,,,,2,0
421,EC229,Pháp luật trong thương mại điện tử,Law in E-Commerce,Đang mở,HTTT,CN,,,,,2,0
422,EC232,Nguyên lý kế toán,Principles of Accounting,Đang mở,HTTT,CNTC,,,,,3,0
423,EC301,Tiếp thị trực tuyến (E-Marketing),E-Marketing,Đang mở,HTTT,CN,,EC311,,,3,1
424,EC302,Thiết kế Hệ thống Thương mại điện tử,E-Commerce System Design,Đang mở,HTTT,CN,,EC312,,,3,1
425,EC304,Tối ưu hóa công cụ tìm kiếm trong thương mại điện tử,Search Engine Optimization in E-Commerce,Đang mở,HTTT,CN,,,,,3,0
426,EC311,Tiếp thị trực tuyến,E-Marketing,Đang mở,HTTT,CN,,EC204,,,2,1
427,EC312,Thiết kế hệ thống thương mại điện tử,E-Commerce Systems Design,Đang mở,HTTT,CN,,,,IS207,2,1
428,EC331,Quản trị chiến lược kinh doanh điện tử,E-Business Strategic Management,Đang mở,HTTT,CNTC,,,,,3,0
429,EC332,Quản trị sản xuất,Production and Manufacturing Management,Đang mở,HTTT,CNTC,,,,,3,0
430,EC333,Quản trị tài chính doanh nghiệp,Financial Management,Đang mở,HTTT,CNTC,,,,,3,0
431,EC334,Quản trị kênh phân phối,Distribution Channel Management,Đang mở,HTTT,CNTC,,,,,3,0
432,EC335,An toàn và bảo mật thương mại điện tử,Safety and Security in E-Commerce,Đang mở,HTTT,CN,,,,IT005IS207,3,0
433,EC336,Quản trị nhân lực,Human Resources,Đang mở,HTTT,CNTC,,,,,3,0
434,EC337,Hệ thống thanh toán trực tuyến,E-Payment Systems,Đang mở,HTTT,CN,,,,,3,0
435,EC338,Quản trị bán hàng,Sales Management,Đang mở,HTTT,CNTC,,,,,3,0
436,EC401,Khóa luận tốt nghiệp,Thesis,Đang mở,HTTT,KLTN,,,,,10,0
437,EC402,Phát triển ứng dụng thương mại di động,Mobile Commerce Application Development,Đang mở,HTTT,CN,,,,,3,1
438,EC403,Thương mại xã hội,Social Commerce,Đang mở,HTTT,CN,,,,,3,0
439,EC404,Đồ án tốt nghiệp,Capstone Project,Đang mở,HTTT,TN,,,,,6,0
440,EC405,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,HTTT,TN,,,,,10,0
441,ECE02,Mạch số,Digital circuit,Đang mở,BMTL,ĐC,,,,,3,1
442,ECON3313,Kinh tế tiền tệ,Monetary economics,Đang mở,HTTT,CNTC,,,,,3,0
443,EN001,Anh văn 1,English 1,Đang mở,BMAV,ĐC,,,ENBT,,4,0
444,EN001.CO,English for Communication 1,English for Communication 1,Đang mở,HTTT,BT,,,,,0,0
445,EN001.GE,General English,General English,Đang mở,HTTT,BT,,,,,0,0
446,EN002,Anh văn 2,English 2,Đang mở,BMAV,ĐC,,EN004ENG01,EN001,,4,0
447,EN002.CO,English for Communication 1,English for Communication 1,Đang mở,HTTT,BT,,,,,0,0
448,EN002.GE,General English,General English,Đang mở,HTTT,BT,,,,,0,0
449,EN003,Anh văn 3,English 3,Đang mở,BMAV,ĐC,,EN006EN005ENG02,EN002,,4,0
450,EN004,Anh văn 1,English 1,Đang mở,BMAV,ĐC,,ENG01,,,4,0
451,EN005,Anh văn 2,English 2,Đang mở,BMAV,ĐC,,ENG02,,,4,0
452,EN006,Anh văn 3,English 3,Đang mở,BMAV,ĐC,,ENG03,,,4,0
453,ENBT,Anh văn Bổ túc,English 0,Đang mở,BMAV,BT,,,,,0,0
454,ENG00,Anh văn 0,English 0,Đang mở,TTNN,ĐC,,,,,0,0
455,ENG01,Anh văn 1,English 1,Đang mở,TTNN,ĐC,,INT001EN004EN002,,,4,0
456,ENG02,Anh văn 2,English 2,Đang mở,TTNN,ĐC,,INT003EN005EN003,ENG01,,4,0
457,ENG03,Anh văn 3,English 3,Đang mở,TTNN,ĐC,,INT004EN006,ENG02,,4,0
458,ENG04,Anh văn 4,English 4,Đang mở,TTNN,ĐC,,INT005,ENG03,,4,0
459,ENG05,Anh văn 5,English 5,Đang mở,TTNN,ĐC,,INT006,ENG04,,4,0
460,ENG06,Kỹ năng thuyết trình tiếng Anh,Effective Presentation,Đang mở,TTNN,CN,,,ENG03,,4,0
461,ENG07,Kỹ năng viết luận,Academic Writing,Đang mở,TTNN,CN,,,ENG03,,4,0
462,ENG11,Tiếng anh tăng cường I,Intensive English I,Đang mở,TTNN,ĐC,,,,,0,0
463,ENG12,Tiếng anh tăng cường II,Intensive English II,Đang mở,TTNN,ĐC,,,,,0,0
464,ENG13,Tiếng Anh I,English Composition I,Đang mở,TTNN,ĐC,,,,,0,0
465,ENG14,Tiếng Anh II,English Composition II,Đang mở,TTNN,ĐC,,,,,0,0
466,ENG15,Tiếng Anh chuyên ngành CNTT,English for computer science,Đang mở,TTNN,ĐC,,,,,0,0
467,ENGA1,Anh văn sơ cấp 1,Anh văn sơ cấp 1,Đang mở,TTNN,BT,,,,,0,0
468,ENGA2,Anh văn sơ cấp 2,Anh văn sơ cấp 2,Đang mở,TTNN,BT,,,,,0,0
469,ENGBT,Anh văn bổ túc,English 0,Đang mở,TTNN,ĐC,,,,,0,0
470,ENGL1113,Tiếng Anh 1,English Composition 1,Đang mở,HTTT,ĐC,,ENG06,,,3,0
471,ENGL1213,Tiếng Anh 2,English Composition 2,Đang mở,HTTT,ĐC,ENG14,ENG07,ENGL1113,,3,0
472,ENLS1,"Nâng cao kỹ năng nghe, nói tiếng Anh 1","Nâng cao kỹ năng nghe, nói tiếng Anh 1",Đang mở,TTNN,ĐC,,,,,0,0
473,ENLS2,"Nâng cao kỹ năng nghe, nói tiếng Anh 2","Nâng cao kỹ năng nghe, nói tiếng Anh 2",Đang mở,TTNN,ĐC,,,,,0,0
474,ENRW1,"Nâng cao kỹ năng đọc, viết tiếng Anh 1","Nâng cao kỹ năng đọc, viết tiếng Anh 1",Đang mở,TTNN,ĐC,,,,,0,0
475,ENRW2,"Nâng cao kỹ năng đọc, viết tiếng Anh 2","Nâng cao kỹ năng đọc, viết tiếng Anh 2",Đang mở,TTNN,ĐC,,,,,0,0
476,GDH075,Tâm lý học giao tiếp,Communication Psychology,Đang mở,PĐTĐH,CN,,,,,1,1
477,HCMT1,Tư tưởng Hồ Chí Minh,Ho Chi Minh's Ideology,Đang mở,PĐTĐH,ĐC,,SS003,,,2,0
478,IE005,Giới thiệu ngành Công nghệ Thông tin,Introduction to Information Technology,Đang mở,KTTT,ĐC,,CS005IS005SE005CE005NT005NT015EC005DS005AI001,,,1,0
479,IE101,Cơ sở hạ tầng công nghệ thông tin,Information Technology Infrastructure,Đang mở,KTTT,CSN,,,,,2,1
480,IE102,Các công nghệ nền,Platform Technologies,Đang mở,KTTT,CSN,,,,,2,1
481,IE103,Quản lý thông tin,Information Management,Đang mở,KTTT,CSN,,,,IT004,3,1
482,IE104,Internet và công nghệ web,Internet and Web Technology,Đang mở,KTTT,CSN,,,,IT001IT005,3,1
483,IE105,Nhập môn bảo đảm và an ninh thông tin,Introduction to Information Assurance and Security,Đang mở,KTTT,CSN,,,,,3,1
484,IE106,Thiết kế giao diện người dùng,User Interface Design,Đang mở,KTTT,CSN,,,,IT001,3,1
485,IE107,Thiết kế giao diện người dùng,Thiết kế giao diện người dùng,Đang mở,KTTT,CSN,,,,,3,1
486,IE108,Phân tích thiết kế phần mềm,Software Analysis and Design,Đang mở,KTTT,CN,,,,,3,1
487,IE201,Xử lý dữ liệu thống kê,Analysis of Statistical Data,Đang mở,KTTT,CN,,,,MA005MA006,3,0
488,IE202,Quản trị doanh nghiệp,Business management,Đang mở,KTTT,CN,,,,,3,0
489,IE203,Hệ thống quản trị qui trình nghiệp vụ,Business Process Management Systems,Đang mở,KTTT,CĐTN,,,,IT001IT004,3,1
490,IE204,Tối ưu hóa công cụ tìm kiếm,Search Engine Optimization,Đang mở,KTTT,CĐTN,,,,IE104,3,1
491,IE205,Xử lý ảnh vệ tinh,Satellite Image Processing,Đang mở,KTTT,CN,,,,IS351,3,0
492,IE206,Đồ án chuẩn bị tốt nghiệp,Preparing for the Graduation Project,Đang mở,KTTT,ĐA,,,,,0,2
493,IE207,Đồ án,Project,Đang mở,KTTT,ĐA,,,,IT001IT004,0,2
494,IE208,Kiến trúc và tích hợp hệ thống,System Integration and Architecture,Đang mở,KTTT,CNTC,,,,,3,0
495,IE209,Công nghệ Java,Java Technology,Đang mở,KTTT,CNTC,,IE303,,IT002,3,1
496,IE210,Hệ thống định vị toàn cầu (GPS),Global Positioning System,Đang mở,KTTT,CNTC,,,,,3,0
497,IE211,Tin học môi trường,Environmental Informatics,Đang mở,KTTT,CNTC,,,,,2,0
498,IE212,Công nghệ dữ liệu lớn,Big Data Technology,Đang mở,KTTT,CN,,,,IT007,3,1
499,IE213,Kỹ thuật phát triển hệ thống web,Web System Development Techniques,Đang mở,KTTT,CN,,,,IE104,3,1
500,IE216,Các chủ đề toán học cho khoa học dữ liệu,Topics in Mathematics of Data Science,Đang mở,KTTT,CNTC,,,,,3,0
501,IE217,Máy học,Máy học,Đang mở,KTTT,CNTC,,DS102,,,3,1
502,IE218,Xử lý dữ liệu lớn,Big Data Processing,Đang mở,KTTT,CNTC,,,,,3,1
503,IE221,Kỹ thuật lập trình Python,Python Programming Techniques,Đang mở,KTTT,CN,,,,IT001,3,1
504,IE222,Phân tích dữ liệu bằng Python,Phân tích dữ liệu bằng Python,Đang mở,KTTT,CN,,,,,3,1
505,IE223,Phân tích dữ liệu bằng Python và R,Data Analysis with Python and R,Đang mở,KTTT,CN,,,,,3,1
506,IE224,Phân tích dữ liệu,Data Analysis,Đang mở,KTTT,CN,,IE313,,,3,1
507,IE225,Mạng kết nối,Interconnection Networks,Đang mở,KTTT,CN,,,,,3,1
508,IE226,Đồ họa và trực quan hóa máy tính,Computer Graphics and Visualization,Đang mở,KTTT,CN,,,,,3,1
509,IE227,Xử lý tín hiệu số cho mạng,Signal Processing over Networks,Đang mở,KTTT,CN,,,,,3,1
510,IE228,Tương tác người-máy Việt Nhật,Human-Computer Interaction,Đang mở,KTTT,CN,,,,,3,1
511,IE229,Trí tuệ nhân tạo Việt Nhật,Artificial Intelligence,Đang mở,KTTT,CN,,,,,3,1
512,IE230,Viết báo cáo kỹ thuật bằng tiếng Nhật,Japanese Technical Writing,Đang mở,KTTT,CN,,,,,0,2
513,IE231,Quản trị doanh nghiệp công nghệ thông tin,Information Technology Enterprise Management,Đang mở,KTTT,CN,,,,,3,0
514,IE232,Nhập môn trí tuệ nhân tạo,Introduction to Artificial Intelligence,Đang mở,KTTT,CN,,,,,3,1
515,IE233,Phân tích và mô hình mạng xã hội,Analysis and Modeling of Social Networks,Đang mở,KTTT,CN,,,,,3,1
516,IE301,Quản trị quan hệ khách hàng,Customer Relationship Management,Đang mở,KTTT,CNTC,,,,,3,0
517,IE302,Kiến trúc và tích hợp hệ thống,System Integration and Architecture,Đang mở,KTTT,CNTC,,,,,3,0
518,IE303,Công nghệ Java,Java Technology,Đang mở,KTTT,CĐTN,,,,IT002,3,1
519,IE304,Hệ thống định vị toàn cầu,Global Positioning System,Đang mở,KTTT,CNTC,,,,IS251,3,0
520,IE305,Tin học môi trường,Environmental Informatics,Đang mở,KTTT,CNTC,,,,IE101IS251,2,0
521,IE307,Công nghệ lập trình đa nền tảng cho ứng dụng di động,Cross-Platform Mobile Development,Đang mở,KTTT,CNTC,,,,,3,1
522,IE309,Thực tập doanh nghiệp,Internship,Đang mở,KTTT,TTTN,,,,,2,0
523,IE310,Tư duy thiết kế,Design Thinking,Đang mở,KTTT,CN,,,,,3,0
524,IE313,Phân tích và trực quan dữ liệu,Data Analysis and Visualization,Đang mở,KTTT,CN,,,,IT001,3,1
525,IE400,Chuyên đề tốt nghiệp,Graduate Seminars,Đang mở,KTTT,TN,,,,,4,0
526,IE401,Tin-Sinh học,Bioinformatics,Đang mở,KTTT,CĐTN,,,,IT003,3,0
527,IE402,Hệ thống thông tin địa lý 3 chiều,Three-Dimensional Geographic Information Systems,Đang mở,KTTT,CĐTN,,,,IT004,3,1
528,IE403,Khai thác dữ liệu truyền thông xã hội,Social Media Mining,Đang mở,KTTT,CĐTN,,,,,3,0
529,IE404,Khai phá truyền thông xã hội,Social Media Mining,Đang mở,KTTT,CĐTN,,,,,3,0
530,IE405,Công nghệ phân tích dữ liệu lớn,Big Data Analysis Technologies,Đang mở,KTTT,CĐTN,,,,,3,1
531,IE406,Nhập môn ẩn thông tin và ứng dụng,Data Hiding Fundamentals and Applications,Đang mở,KTTT,TN,,,,,3,0
532,IE501,Đồ án tốt nghiệp,Capstone Project,Đang mở,KTTT,TN,,,,IE400,6,0
533,IE502,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,KTTT,TN,,,,,10,0
534,IE505,Khóa luận tốt nghiệp,Thesis,Đang mở,KTTT,KLTN,,,,,10,0
535,IEM4733,Tái cấu trúc quy trình doanh nghiệp,Re-engineering Business Processes,Đang mở,HTTT,CN,,,,MSIS3303,3,0
536,IEM5723,"Mô hình hóa dữ liệu, quy trình và đối tượng","Data, Process and Object Modeling",Đang mở,HTTT,CSN,,,,,3,0
537,INI01,Thực tập quốc tế,International Internship,Đang mở,PĐTĐH,CN,,,,,2,0
538,INT001,Tiếng Anh tổng quát,General English,Đang mở,HTTT,BT,,ENG01,,,0,0
539,INT002,Toeic 1,TOEIC 1,Đang mở,HTTT,BT,,,,,0,0
540,INT003,Tiếng Anh tổng quát 2,General English 2,Đang mở,HTTT,BT,,ENG02,,,0,0
541,INT004,Toeic 2,TOEIC 2,Đang mở,HTTT,BT,,ENG03,,,0,0
542,INT005,Tiếng Anh giao tiếp,Communication,Đang mở,HTTT,ĐC,,ENG04,,,0,0
543,INT006,Toeic 3,TOEIC 3,Đang mở,HTTT,ĐC,,ENG05,,,0,0
544,IS005,Giới thiệu ngành Hệ thống Thông tin,Introduction to Information Systems Discipline,Đang mở,HTTT,ĐC,,CS005IE005SE005CE005NT005NT015EC005DS005AI001,,,1,0
545,IS101,Thiết kế cơ sở dữ liệu,Database design,Đang mở,HTTT,CN,IS214,IS214,,,3,1
546,IS102,Các hệ cơ sở tri thức,Knowledge-based systems,Đang mở,HTTT,CN,,CS217,,,3,0
547,IS103,Hệ quản trị cơ sở dữ liệu,Database Management Systems,Đang mở,HTTT,CN,,IS210,,,3,1
548,IS104,Cơ sở dữ liệu phân tán,Distributed Databases,Đang mở,HTTT,CN,,IS211,,,3,1
549,IS105,Hệ quản trị cơ sở dữ liệu Oracle,Oracle Database Management System,Đang mở,HTTT,CN,,,,IT004,3,1
550,IS106,Khai thác dữ liệu,Data Mining,Đang mở,HTTT,CN,,,,,3,1
551,IS107,Hệ thống thông tin kế toán,Accounting Information Systems,Đang mở,HTTT,CN,,IS232,,,5,0
