Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
961,SE351,Xử lý song song,Parallel Processing,Đang mở,CNPM,CN,,,,IT001IT002IT003,3,1
962,SE352,Phát triển ứng dụng VR,VR App Development,Đang mở,CNPM,CNTC,,,,SE102,2,1
963,SE354,Chuyên đề các quy trình phát triển phần mềm hiện đại,Special Topics in Modern Software Development Processes,Đang mở,CNPM,CNTC,,,,,2,1
964,SE355,Máy học và các công cụ,Machine Learning and Tools,Đang mở,CNPM,CN,,,,IT003,2,1
965,SE356,Kiến trúc phần mềm,Software Architecture,Đang mở,CNPM,CNTC,,,,SE104SE100,3,1
966,SE357,Kỹ thuật phân tích yêu cầu,Requirements Engineering,Đang mở,CNPM,CNTC,,,,SE104,2,1
967,SE358,Quản lý dự án phát triển phần mềm,Software Development Project Management,Đang mở,CNPM,CN,,,,SE104,3,1
968,SE359,DevOps trong phát triển phần mềm,DevOps in Software Developing,Đang mở,CNPM,CSN,,,,,2,1
969,SE360,Điện toán đám mây và phát triển ứng dụng hướng dịch vụ,Cloud Computing and Building Cloud-Native Applications,Đang mở,CNPM,CSN,,,,,3,1
970,SE361,Phát triển phần mềm theo kiến trúc Microservices,Microservices Software Development,Đang mở,CNPM,CSN,,,,IT002IT004,3,1
971,SE362,An toàn phần mềm và hệ thống,Software and Systems Security,Đang mở,CNPM,CN,,,,,3,1
972,SE363,Phát triển ứng dụng trên nền tảng dữ liệu lớn,Application Development on Big Data Platforms,Đang mở,CNPM,CN,,,,,3,1
973,SE364,Thiết kế giao diện và trải nghiệm người dùng,UI/UX Design,Đang mở,CNPM,CN,,,,IT001,3,1
974,SE365,Học sâu ứng dụng trong phát triển phần mềm,Applied Deep Learning in Software Engineering,Đang mở,CNPM,CN,,,,,3,1
975,SE400,Seminar các vấn đề hiện đại của công nghệ phần mềm,Seminar on Modern Software Engineering,Đang mở,CNPM,CĐTN,,,,SE100SE104,4,0
976,SE401,Mẫu thiết kế,Design Patterns,Đang mở,CNPM,CĐTN,,,,SE100,3,0
977,SE402,Điện toán đám mây,Cloud computing,Đang mở,CNPM,CĐTN,,IS402,,IT005IT008,2,0
978,SE403,Nguyên lý thiết kế thế giới ảo,Virtual World Design,Đang mở,CNPM,CĐTN,,,,,4,0
979,SE404,Chuyên đề E-Government,E-Government,Đang mở,CNPM,CĐTN,SE333,,,,2,0
980,SE405,Chuyên đề mobile and pervasive computing,Mobile Pervasive Computing,Đang mở,CNPM,CĐTN,,,,SE114,3,0
981,SE406,Mẫu thiết kế hướng đối tượng,Object-Oriented Design Patterns,Đang mở,CNPM,CĐTN,,,,SE100,4,0
982,SE407,Chuyên đề pervasive and mobile computing,Pervasive Mobile Computing,Đang mở,CNPM,CĐTN,,,,SE114,4,0
983,SE408,Phát triển game với blockchain,Blockchain-Based Game Development,Đang mở,CNPM,CĐTN,,,,,3,1
984,SE409,Phát triển dự án game,Game Project Development,Đang mở,CNPM,CN,,,,,3,1
985,SE417,Đồ án môn học mã nguồn mở,Open Source Project,Đang mở,CNPM,ĐA,,SE111,,,2,0
986,SE418,Đồ án môn học chuyên ngành,Specialized Project,Đang mở,CNPM,ĐA,,SE112,,,3,0
987,SE501,Thực tập tốt nghiệp,Internship,Đang mở,CNPM,TTTN,,,,,2,0
988,SE502,Thực tập,Internship,Đang mở,CNPM,TTTN,,,,,2,0
989,SE503,Đồ án,Major Project,Đang mở,CNPM,CN,,,,,2,0
990,SE505,Khóa luận tốt nghiệp,Thesis,Đang mở,CNPM,KLTN,,,,SE122,10,0
991,SE506,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,CNPM,KLTN,,,,SE122,10,0
992,SE507,Đồ án tốt nghiệp,Capstone Project,Đang mở,CNPM,ĐA,,,,SE122,6,0
993,SMET1,Phương pháp NCKH trong tin học,Scientific Research Methodology in Informatics,Đang mở,PĐTĐH,ĐC,SMET1,CS519SS005,,,2,0
994,SMET2,Phương pháp luận sáng tạo KH-CN,Scientific Method and Innovation,Đang mở,PĐTĐH,ĐC,SMET2,CS519SS005,,,2,0
995,SOCI1,Chủ nghĩa xã hội khoa học,Scientific socialism,Đang mở,P.ĐTĐH,ĐC,,,,,3,0
996,SP3724,Kỹ năng giao tiếp,Communication Skills,Đang mở,HTTT,ĐC,,,,,3,0
997,SPCH2713,Kỹ năng giao tiếp,Introduction to Speech Communication,Đang mở,HTTT,ĐC,,,,,2,0
998,SPCH3723,Tiếng Anh chuyên ngành công nghệ thông tin,English for Computer Science,Đang mở,HTTT,ĐC,,,,,3,0
999,SPCH3724,Kỹ năng giao tiếp,Communication skills,Đang mở,HTTT,ĐC,SP3724,SPCH2713,,,3,0
1000,SS001,Những nguyên lý cơ bản của chủ nghĩa Mác Lênin,Fundamental principles of Marxism-Leninism,Đang mở,PĐTĐH,ĐC,PHIL1,,,,5,0
1001,SS002,Đường lối cách mạng của Đảng CS Việt Nam,The revolutionary way of the communist party of Vietnam,Đang mở,PĐTĐH,ĐC,VCPL1,SS010,,,3,0
1002,SS003,Tư tưởng Hồ Chí Minh,Ho Chi Minh Thought,Đang mở,PĐTĐH,LLCT,HCMT1,,,,2,0
1003,SS004,Kỹ năng nghề nghiệp,Professional Skills,Đang mở,PĐTĐH,ĐC,,,,,2,0
1004,SS005,Phương pháp luận sáng tạo KH-CN,Scientific methodology and innovation,Đang mở,PĐTĐH,ĐC,SE336,SMET1 SMET2CS519,,,2,0
1005,SS006,Pháp luật đại cương,Introduction to Law,Đang mở,P.ĐTĐH,ĐC,,,,,2,0
1006,SS007,Triết học Mác – Lênin,Philosophy of Marxism and Leninism,Đang mở,PĐTĐH,LLCT,,,,,3,0
